Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Story Points,Sprint,Labels
125,7,Historia,Evaluación de sesgos y respuestas inapropiadas,Como oficial de cumplimiento quiero evaluar sesgos para evitar daños reputacionales.,High,5,Sprint 3,asistia e7
126,7,Historia,Filtros de contenido y límites del asistente,Como PO quiero límites claros de lo que el asistente puede responder para evitar respuestas indebidas.,Highest,5,Sprint 4,asistia e7
127,7,Historia,Revisión legal de privacidad y tratamiento de datos,Como oficial de datos quiero revisar el tratamiento de datos para cumplir la normativa vigente.,Highest,3,Sprint 4,asistia e7
128,7,Historia,Documento de IA responsable y aviso al usuario,Como cliente quiero saber que hablo con una IA para decidir si prefiero un agente humano.,High,3,Sprint 5,asistia e7
129,8,Historia,Plan de pruebas y criterios de aceptación,Como QA quiero un plan de pruebas para verificar sistemáticamente cada entrega.,High,3,Sprint 3,asistia e8
130,8,Historia,Pruebas funcionales del asistente,Como QA quiero ejecutar pruebas funcionales para detectar defectos antes del piloto.,High,5,Sprint 5,asistia e8
131,8,Historia,Pruebas de carga y tiempo de respuesta,Como TI quiero validar el desempeño bajo carga para garantizar la disponibilidad del canal.,High,5,Sprint 5,asistia e8
132,8,Historia,Prueba piloto con usuarios reales,Como patrocinador quiero un piloto controlado para decidir el paso a producción con evidencia.,Highest,8,Sprint 6,asistia e8
133,9,Historia,Acta constitutiva y tablero de Jira configurado,Como PM quiero el proyecto formalizado y el tablero configurado para gestionar la ejecución.,Highest,3,Sprint 1,asistia e9
134,9,Historia,Registro de riesgos y plan de escalamiento,Como PM quiero un registro de riesgos activo para anticipar problemas y saber cuándo escalar.,High,3,Sprint 1,asistia e9
135,9,Historia,Informe de avance y métricas por sprint,Como patrocinador quiero informes periódicos para conocer el avance real del proyecto.,Medium,3,Sprint 3,asistia e9
136,9,Historia,Cierre del proyecto y lecciones aprendidas,Como PM quiero cerrar formalmente el proyecto para documentar resultados y aprendizajes.,Medium,3,Sprint 6,asistia e9
137,10,Historia,Material de capacitación para agentes,Como agente quiero material de apoyo para aprender a trabajar junto al asistente.,Medium,3,Sprint 5,asistia e10
138,10,Historia,Sesiones de capacitación al equipo de servicio,Como jefe de servicio quiero capacitar al equipo para asegurar la adopción de la herramienta.,High,3,Sprint 6,asistia e10
139,10,Historia,Manual de operación y soporte,Como TI quiero un manual de operación para sostener la solución después del proyecto.,Medium,3,Sprint 6,asistia e10
140,10,Historia,Plan de adopción y comunicación interna,Como PM quiero comunicar el cambio para reducir la resistencia del equipo.,Medium,2,Sprint 6,asistia e10
