Issue Type,Summary,Description,Priority,Story Points,Sprint,Labels,Epic
Historia,Mapa de experiencia del usuario,Como diseñador quiero mapear el recorrido del cliente para detectar los momentos críticos.,Medium,3,Sprint 2,asistia e5,E5. Producto y experiencia de usuario
Historia,Prototipo de interfaz del asistente,Como cliente quiero una interfaz clara para resolver mi consulta sin fricción.,High,5,Sprint 3,asistia e5,E5. Producto y experiencia de usuario
Historia,Diseño de respuestas y tono de la marca,Como jefe de servicio quiero que el asistente hable con el tono de la marca para cuidar la imagen.,Medium,3,Sprint 3,asistia e5,E5. Producto y experiencia de usuario
Historia,Manejo de errores y derivación a agente humano,Como cliente quiero poder hablar con una persona cuando el asistente no resuelva mi caso.,Highest,5,Sprint 4,asistia e5,E5. Producto y experiencia de usuario
Historia,API de integración con el canal web,Como TI quiero exponer el asistente por API para integrarlo al sitio web actual.,Highest,8,Sprint 4,asistia e6,E6. Integración y despliegue
Historia,Integración con el sistema de tickets,Como agente quiero que las derivaciones lleguen al sistema de tickets para no perder trazabilidad.,High,8,Sprint 5,asistia e6,E6. Integración y despliegue
Historia,Autenticación y control de acceso,Como TI quiero controlar los accesos para proteger la información de la empresa.,High,5,Sprint 5,asistia e6,E6. Integración y despliegue
Historia,Despliegue a producción con plan de reversión,Como PM quiero un despliegue controlado con plan de reversión para reducir el riesgo operativo.,Highest,5,Sprint 6,asistia e6,E6. Integración y despliegue
Historia,Evaluación de sesgos y respuestas inapropiadas,Como oficial de cumplimiento quiero evaluar sesgos para evitar daños reputacionales.,High,5,Sprint 3,asistia e7,E7. IA responsable y cumplimiento
Historia,Filtros de contenido y límites del asistente,Como PO quiero límites claros de lo que el asistente puede responder para evitar respuestas indebidas.,Highest,5,Sprint 4,asistia e7,E7. IA responsable y cumplimiento
Historia,Revisión legal de privacidad y tratamiento de datos,Como oficial de datos quiero revisar el tratamiento de datos para cumplir la normativa vigente.,Highest,3,Sprint 4,asistia e7,E7. IA responsable y cumplimiento
Historia,Documento de IA responsable y aviso al usuario,Como cliente quiero saber que hablo con una IA para decidir si prefiero un agente humano.,High,3,Sprint 5,asistia e7,E7. IA responsable y cumplimiento
Historia,Plan de pruebas y criterios de aceptación,Como QA quiero un plan de pruebas para verificar sistemáticamente cada entrega.,High,3,Sprint 3,asistia e8,E8. Pruebas y aseguramiento de calidad
Historia,Pruebas funcionales del asistente,Como QA quiero ejecutar pruebas funcionales para detectar defectos antes del piloto.,High,5,Sprint 5,asistia e8,E8. Pruebas y aseguramiento de calidad
Historia,Pruebas de carga y tiempo de respuesta,Como TI quiero validar el desempeño bajo carga para garantizar la disponibilidad del canal.,High,5,Sprint 5,asistia e8,E8. Pruebas y aseguramiento de calidad
Historia,Prueba piloto con usuarios reales,Como patrocinador quiero un piloto controlado para decidir el paso a producción con evidencia.,Highest,8,Sprint 6,asistia e8,E8. Pruebas y aseguramiento de calidad
Historia,Acta constitutiva y tablero de Jira configurado,Como PM quiero el proyecto formalizado y el tablero configurado para gestionar la ejecución.,Highest,3,Sprint 1,asistia e9,E9. Gobernanza y gestión del proyecto
Historia,Registro de riesgos y plan de escalamiento,Como PM quiero un registro de riesgos activo para anticipar problemas y saber cuándo escalar.,High,3,Sprint 1,asistia e9,E9. Gobernanza y gestión del proyecto
Historia,Informe de avance y métricas por sprint,Como patrocinador quiero informes periódicos para conocer el avance real del proyecto.,Medium,3,Sprint 3,asistia e9,E9. Gobernanza y gestión del proyecto
Historia,Cierre del proyecto y lecciones aprendidas,Como PM quiero cerrar formalmente el proyecto para documentar resultados y aprendizajes.,Medium,3,Sprint 6,asistia e9,E9. Gobernanza y gestión del proyecto
Historia,Material de capacitación para agentes,Como agente quiero material de apoyo para aprender a trabajar junto al asistente.,Medium,3,Sprint 5,asistia e10,"E10. Adopción, capacitación y soporte"
Historia,Sesiones de capacitación al equipo de servicio,Como jefe de servicio quiero capacitar al equipo para asegurar la adopción de la herramienta.,High,3,Sprint 6,asistia e10,"E10. Adopción, capacitación y soporte"
Historia,Manual de operación y soporte,Como TI quiero un manual de operación para sostener la solución después del proyecto.,Medium,3,Sprint 6,asistia e10,"E10. Adopción, capacitación y soporte"
Historia,Plan de adopción y comunicación interna,Como PM quiero comunicar el cambio para reducir la resistencia del equipo.,Medium,2,Sprint 6,asistia e10,"E10. Adopción, capacitación y soporte"
